ID,age,workclass,marital_status,sex,hours_per_week,capital,income
0,39,State-gov,Never-married,Male,40,30176.79896320746,<=50K
1,50,Self-emp-not-inc,Married-civ-spouse,Male,20,28088.185933900382,<=50K
2,38,Private,Divorced,Male,40,27040.979839769694,<=50K
3,53,Private,Married-civ-spouse,Male,40,29766.056464596808,<=50K
4,28,Private,Married-civ-spouse,Female,40,26593.830860737155,<=50K
5,37,Private,Married-civ-spouse,Female,40,34554.040535341635,<=50K
6,49,Private,Married-spouse-absent,Female,20,30203.902115357272,<=50K
7,52,Self-emp-not-inc,Married-civ-spouse,Male,45,27779.44477925764,>50K
8,31,Private,Never-married,Female,50,28972.217442628673,>50K
9,42,Private,Married-civ-spouse,Male,40,33470.7686132072,>50K
10,37,Private,Married-civ-spouse,Male,50,28123.129061851003,>50K
11,30,State-gov,Married-civ-spouse,Male,40,26210.604114640486,>50K
12,23,Private,Never-married,Female,30,,<=50K
13,32,Private,Never-married,Male,50,43783.532960809855,<=50K
14,40,Private,Married-civ-spouse,Male,40,34223.432474594694,>50K
15,34,Private,Married-civ-spouse,Male,45,23122.80761651273,<=50K
16,25,Self-emp-not-inc,Never-married,Male,35,,<=50K
17,32,Private,Never-married,Male,40,28604.724877557495,<=50K
18,38,Private,Married-civ-spouse,Male,50,30504.40599755318,<=50K
19,43,Self-emp-not-inc,Divorced,Female,45,34026.171675552585,>50K
20,40,Private,Married-civ-spouse,Male,50,32132.49654126538,>50K
21,54,Private,Separated,Female,20,26654.274334825932,<=50K
22,35,Federal-gov,Married-civ-spouse,Male,40,23242.680400858135,<=50K
23,43,Private,Married-civ-spouse,Male,40,21074.728070639947,<=50K
24,59,Private,Divorced,Female,40,34398.547735466505,<=50K
25,56,Local-gov,Married-civ-spouse,Male,40,25536.469602336914,>50K
26,19,Private,Never-married,Male,40,,<=50K
27,54,,Married-civ-spouse,Male,50,25743.451347291404,>50K
28,39,Private,Divorced,Male,50,35535.26169559074,<=50K
29,49,Private,Married-civ-spouse,Male,40,28044.881677554684,<=50K
30,23,Local-gov,Never-married,Male,50,,<=50K
31,20,Private,Never-married,Male,44,,<=50K
32,45,Private,Divorced,Male,40,30414.050447683516,<=50K
33,30,Federal-gov,Married-civ-spouse,Male,40,31882.202049578234,<=50K
34,22,State-gov,Married-civ-spouse,Male,20,,<=50K
35,48,Private,Never-married,Male,40,21871.56276348388,<=50K
36,21,Private,Never-married,Male,40,,<=50K
37,19,Private,Married-AF-spouse,Female,25,,<=50K
38,31,Private,Married-civ-spouse,Male,38,30473.89909981532,>50K
39,48,Self-emp-not-inc,Married-civ-spouse,Male,40,33424.00158026959,<=50K
40,31,Private,Married-civ-spouse,Male,43,21325.945677230528,<=50K
41,53,Self-emp-not-inc,Married-civ-spouse,Male,40,22025.19478961098,<=50K
42,24,Private,Married-civ-spouse,Male,50,,<=50K
