edad,peso,IQ,anios_trabajados,sueldo_medio
53.23,125.14,99.14,58.0,30165.2
49.57,115.78,136.44,52.0,26796.4
41.41,52.41,121.36,46.0,
36.27,80.19,96.89,40.0,
48.68,97.45,95.79,17.0,20356.42
54.49,102.46,105.08,27.0,
42.19,64.08,111.0,,
67.55,102.47,,32.0,
58.87,79.43,,29.0,
46.12,106.52,124.25,49.0,
48.38,79.86,126.15,32.0,
49.42,94.04,130.0,30.0,23616.24
54.21,102.13,116.88,54.0,
36.88,65.18,136.93,29.0,24766.76
60.4,69.36,,26.0,
43.89,110.59,131.17,51.0,
46.87,95.0,134.98,25.0,
39.03,85.21,120.01,51.0,
34.76,54.71,113.75,61.0,
37.65,78.08,114.62,60.0,32455.46
48.0,81.98,117.27,32.0,
62.08,87.98,,40.0,
50.9,152.8,92.16,35.0,
62.25,79.13,,52.0,
47.11,98.36,90.07,91.0,
46.46,80.38,98.43,39.0,
55.26,79.65,,26.0,
47.67,70.97,90.86,,
58.44,90.18,,25.0,
46.63,86.45,91.42,33.0,
57.75,28.52,,,27497.7
48.92,50.66,129.23,28.0,
42.91,71.5,134.63,,31738.61
64.12,113.13,,49.0,
70.94,98.72,,25.0,25911.23
36.59,63.26,121.09,44.0,
47.99,117.85,125.25,,27987.5
44.67,82.0,128.6,,36959.76
50.4,96.31,124.3,19.0,30794.25
44.91,94.67,96.03,,
56.26,106.62,,,29883.28
43.05,95.45,124.5,42.0,20885.19
41.08,73.1,121.79,15.0,
56.33,104.96,,44.0,
53.44,77.98,94.45,44.0,
61.83,68.36,,62.0,
52.8,95.26,118.35,43.0,
69.74,108.43,,42.0,19053.06
44.11,89.47,118.19,36.0,10033.0
64.59,88.83,,8.0,
