age,workclass,marital_status,sex,hours_per_week,capital,income
39,goverment,Never-married,Male,40,30176.79896320746,<=50K
50,Self-emp-not-inc,Married,Male,20,28088.185933900382,<=50K
38,Private,Divorced,Male,40,27040.97983976969,<=50K
53,Private,Married,Male,40,29766.056464596808,<=50K
28,Private,Married,Female,40,26593.830860737155,<=50K
37,Private,Married,Female,40,34554.040535341635,<=50K
49,Private,Married,Female,20,30203.902115357272,<=50K
52,Self-emp-not-inc,Married,Male,45,27779.44477925764,>50K
31,Private,Never-married,Female,50,28972.217442628677,>50K
42,Private,Married,Male,40,33470.7686132072,>50K
37,Private,Married,Male,50,28123.129061851003,>50K
30,goverment,Married,Male,40,26210.60411464049,>50K
32,Private,Never-married,Male,50,43783.532960809855,<=50K
40,Private,Married,Male,40,34223.432474594694,>50K
34,Private,Married,Male,45,23122.80761651273,<=50K
32,Private,Never-married,Male,40,28604.72487755749,<=50K
38,Private,Married,Male,50,30504.40599755318,<=50K
43,Self-emp-not-inc,Divorced,Female,45,34026.171675552585,>50K
40,Private,Married,Male,50,32132.49654126538,>50K
54,Private,Separated,Female,20,26654.27433482593,<=50K
35,goverment,Married,Male,40,23242.68040085813,<=50K
43,Private,Married,Male,40,21074.728070639947,<=50K
59,Private,Divorced,Female,40,34398.547735466505,<=50K
56,goverment,Married,Male,40,25536.469602336914,>50K
39,Private,Divorced,Male,50,35535.26169559074,<=50K
49,Private,Married,Male,40,28044.881677554684,<=50K
45,Private,Divorced,Male,40,30414.05044768352,<=50K
30,goverment,Married,Male,40,31882.202049578234,<=50K
48,Private,Never-married,Male,40,21871.56276348388,<=50K
31,Private,Married,Male,38,30473.89909981532,>50K
48,Self-emp-not-inc,Married,Male,40,33424.00158026959,<=50K
31,Private,Married,Male,43,21325.945677230528,<=50K
53,Self-emp-not-inc,Married,Male,40,22025.19478961098,<=50K
49,Private,Separated,Female,40,31011.21936271041,<=50K
57,goverment,Married,Male,40,32232.631180109965,>50K
53,Private,Married,Male,38,46130.91269187974,<=50K
44,Private,Divorced,Female,40,26666.314209029544,<=50K
41,goverment,Married,Male,40,25252.200825852837,<=50K
29,Private,Never-married,Male,43,24530.32724000919,<=50K
47,Private,Married,Female,50,25972.24061634337,>50K
50,goverment,Divorced,Male,50,46908.48965754231,>50K
47,Self-emp-inc,Divorced,Male,50,26242.764808850647,<=50K
43,Private,Married,Male,40,25362.25228590981,>50K
46,Private,Married,Male,40,25160.89056851364,<=50K
35,Private,Married,Male,40,34148.931249115885,<=50K
41,Private,Married,Male,48,25617.781117617946,<=50K
30,Private,Married,Male,40,27653.25405615048,<=50K
30,Private,Married,Male,40,22784.95148631822,<=50K
48,Private,Married,Male,40,28871.46775421638,<=50K
42,Private,Married,Male,45,31791.264323058225,>50K
